molecule_chembl_id,canonical_smiles
CHEMBL478442,COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC
CHEMBL3775560,COc1cc2ncnc(Nc3ccc(C)c(O)c3Cl)c2cc1OC
CHEMBL272875,CCNC(=O)N1CCOc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc21
CHEMBL3297891,Cc1nc(Nc2cccc3ccccc23)c2cc(C)oc2n1
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL1929485,c1ccc2c3c([nH]c2c1)-c1n[nH]cc1CCC3
CHEMBL2069625,Cc1oc(-c2ccccc2)nc1COc1cccc(CO)c1
CHEMBL524086,Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1
CHEMBL2071270,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CCO)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2
CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1
CHEMBL3938141,O=C(c1cccnc1)N1CCc2nc(Nc3ccsc3)ncc2C1
CHEMBL270754,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12
CHEMBL271189,COCCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12
CHEMBL272688,CNC(=O)c1cc(Oc2ccc3c(c2)OCCN3C(=O)Nc2ccc(C)cc2)ccn1
CHEMBL255282,CO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2C)CCc1nn(C)cc1-4)C(=O)NC3
CHEMBL1242293,CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL4460897,Cc1ccc(-n2cc(NC(=O)c3cccc(NS(=O)(=O)c4ccc(Cl)cc4)c3)cn2)cc1
CHEMBL3978214,CC(C)c1cccc(NC(=O)c2cccc(N3CCc4c(cnc5ccnn45)C3)c2)c1
CHEMBL3397922,COc1ccc(C(=O)Nc2ccc(OCCN(C)C)c(Cl)c2)c(-c2cccc(O)c2)c1O
CHEMBL230109,CNc1nccc(Oc2ccc3oc(Nc4ccc(Cl)c(CN5CCN(C)CC5)c4)nc3c2)n1
CHEMBL230002,CN1CCC[C@H]1COc1cc(Nc2nc3cc(Oc4ccnc(C(N)=O)c4)ccc3o2)ccc1Cl
CHEMBL3746226,CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CCNC5)ccc32)no1
CHEMBL3746370,CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CNC6)ccc43)no2)CC1
CHEMBL212054,Fc1ccc2c(-c3nc4cc(N5CCC(N6CCCCC6)CC5)ccc4[nH]3)[nH]nc2c1
CHEMBL2335014,Nc1nc(Nc2ccc(F)c(C(F)(F)F)c2)c2cc(CCc3ccccn3)[nH]c2n1
CHEMBL3681314,Cc1nc2cc(-n3ncc(C(=O)c4cc5ccc(CN6CCC(F)(F)CC6)cc5[nH]4)c3N)ccc2[nH]1
CHEMBL3633761,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCCCC(=O)NO
CHEMBL3975807,CNC(=O)c1cc(Oc2ccc(C(=O)/C=C/c3cccc(Br)c3)cc2)ccn1
CHEMBL3759186,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OCCCCCCC(=O)NO
CHEMBL3781034,COc1ccc(Cc2nnc(Nc3ccc(S(N)(=O)=O)cc3)c3ccccc23)cc1
CHEMBL3931421,COc1cc(OC)cc(N(CCCN2CCCC2)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1
CHEMBL3931381,CNCCn1cc(-c2cnc3ccc(N(CC4CC4)c4cc(OC)cc(OC)c4)cc3n2)cn1
CHEMBL3897858,COc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cnn(CCO)c4)nc3c2)c1
CHEMBL3922586,COc1cc(OC)c(Cl)c(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL3890126,CCCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1
CHEMBL3951316,COc1cc(OC)cc(N(CC2CCNCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL3925286,COc1cc(OC)cc(N(CCN2CCC(O)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL3985332,COc1ccc(Cl)c(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl
CHEMBL1242656,CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1
CHEMBL3775511,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3F)c2cc1OC
CHEMBL3775557,COc1cc2ncnc(Nc3c(F)ccc(O)c3F)c2cc1OC
CHEMBL526285,O=c1[nH]c2ccccc2c(NCC2CCNCC2)c1-c1nc2ccccc2[nH]1
CHEMBL3979920,Cn1cc(-c2nc(N[C@@H]3CCCC[C@@H]3N)c(F)c3c2C(=O)NC3)cn1
CHEMBL490968,FC(F)(F)c1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1
CHEMBL491502,FC(F)(F)Oc1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1
CHEMBL3577117,CNc1cc2nc(C)c(-c3cc(NC(=O)NC[C@@H](O)C(C)(C)C)c(F)cc3C)cc2cn1
CHEMBL265191,CC(C)c1c(OC[C@@H](C)O)cn2ncnc(Nc3cnc4[nH]ccc4c3)c12
CHEMBL409673,COC(=O)c1cn2ncnc(Nc3cnc4[nH]ccc4c3)c2c1C(C)C
CHEMBL3894122,O=C(Nc1cccc(N2CCc3c(cnc4ccnn34)C2)c1)c1ccccc1
CHEMBL484678,O=C1NCc2cccc(-c3cc4cc(OCc5ccccc5)ccc4[nH]3)c21
CHEMBL485081,O=C1NCc2cccc(-c3cc4cc(OCCCN5CCCCC5)ccc4[nH]3)c21
CHEMBL3909951,COc1cc(OC)cc(N(CC2CC2)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1
CHEMBL3906155,CCOCCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1
CHEMBL3908529,CNC(=O)c1cc(OC)cc(N(CCO)c2ccc3ncc(-c4cnn(CCOC)c4)nc3c2)c1
CHEMBL3921441,[2H]C([2H])([2H])Oc1cc(OC([2H])([2H])[2H])cc(N(CCCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL3966071,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4C)nc3c2)c1
CHEMBL3897783,COc1cc(OC)cc(N(CCO)c2ccc3ncc(-c4cnn(C5CCNCC5)c4)nc3c2)c1
CHEMBL3967761,COc1cc(OC)cc(N(CCO)c2ccc3ncc(-c4cnn(C5CCN(C)CC5)c4)nc3c2)c1
CHEMBL3986725,CCc1c(-c2cnc3ccc(N(CCO)c4cc(OC)cc(OC)c4)cc3n2)cnn1C
CHEMBL3967739,COc1cc(OC)cc(N(C[C@@H](O)CO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
CHEMBL3920908,CNCCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cn[nH]c3)nc2c1
CHEMBL1242114,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O
CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHEMBL3935597,C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F
CHEMBL2430256,CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2cccc(F)c21
CHEMBL272902,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(N)nc1
CHEMBL3939918,NC(=O)n1c(-c2ccc(NC(=O)Nc3ccccc3)cc2)cc2ccccc21
CHEMBL469038,O=C(c1ccccc1NCc1ccc2cn[nH]c2c1)c1c[nH]c2ccccc12
CHEMBL522629,Clc1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1
CHEMBL461605,c1ccc(-c2cn(-c3ccc4ccccc4n3)nn2)c(NCc2ccncc2)c1
